3,HardFixing,LocalBranching-no-kstar,LocalBranching-kstar
0,479169.00,487433.00,480283.00
1,476415.00,486239.00,478528.00
2,484242.00,486814.00,484379.00
3,482696.00,480060.00,481609.00
4,485329.00,479634.00,479335.00
5,476778.00,482457.00,472029.00
6,480074.00,480986.00,482823.00
7,477234.00,479059.00,488155.00
8,485058.00,476877.00,479003.00
9,477281.00,480605.00,476293.00
10,475680.00,476677.00,484558.00
11,482849.00,470696.00,490271.00
12,477050.00,481506.00,484494.00
13,479932.00,471110.00,481627.00
14,472093.00,483830.00,482513.00
15,473276.00,475156.00,476901.00
16,485950.00,483341.00,476193.00
17,483223.00,476654.00,478640.00
18,477836.00,478049.00,486401.00
19,474835.00,484177.00,483409.00